date,county,state,id,value
6/20/2020,Autauga County,AL,1001,22.7
6/20/2020,Baldwin County,AL,1003,21.3
6/20/2020,Barbour County,AL,1005,23.8
6/20/2020,Bibb County,AL,1007,25.4
6/20/2020,Blount County,AL,1009,24.6
6/20/2020,Bullock County,AL,1011,22.4
6/20/2020,Butler County,AL,1013,22.8
6/20/2020,Calhoun County,AL,1015,24.4
6/20/2020,Chambers County,AL,1017,24
6/20/2020,Cherokee County,AL,1019,26.3
6/20/2020,Chilton County,AL,1021,25.2
6/20/2020,Choctaw County,AL,1023,21.5
6/20/2020,Clarke County,AL,1025,21.4
6/20/2020,Clay County,AL,1027,24.7
6/20/2020,Cleburne County,AL,1029,26.2
6/20/2020,Coffee County,AL,1031,21.2
6/20/2020,Colbert County,AL,1033,23.2
6/20/2020,Conecuh County,AL,1035,22.6
6/20/2020,Coosa County,AL,1037,23.3
6/20/2020,Covington County,AL,1039,24.3
6/20/2020,Crenshaw County,AL,1041,24
6/20/2020,Cullman County,AL,1043,25.1
6/20/2020,Dale County,AL,1045,22.6
6/20/2020,Dallas County,AL,1047,21.1
6/20/2020,Dekalb County,AL,1049,26.6
6/20/2020,Elmore County,AL,1051,22.2
6/20/2020,Escambia County,AL,1053,25.5
6/20/2020,Etowah County,AL,1055,25.2
6/20/2020,Fayette County,AL,1057,25
6/20/2020,Franklin County,AL,1059,25.6
6/20/2020,Geneva County,AL,1061,25.4
6/20/2020,Greene County,AL,1063,18.8
6/20/2020,Hale County,AL,1065,21.5
6/20/2020,Henry County,AL,1067,22.5
6/20/2020,Houston County,AL,1069,22.3
6/20/2020,Jackson County,AL,1071,27.5
6/20/2020,Jefferson County,AL,1073,20.4
6/20/2020,Lamar County,AL,1075,24.5
6/20/2020,Lauderdale County,AL,1077,22.3
6/20/2020,Lawrence County,AL,1079,25.4
6/20/2020,Lee County,AL,1081,18.6
6/20/2020,Limestone County,AL,1083,24.1
6/20/2020,Lowndes County,AL,1085,20
6/20/2020,Macon County,AL,1087,17.5
6/20/2020,Madison County,AL,1089,17.6
